,zip_code,latitude,longitude,high demand,current_0-5,current_total,updated_0-5,updated_total,ratio_0-5,ratio_total,updated_ratio_0-5,updated_ratio_total
0,10001,40.74832299077023,-73.99753937845314,0,9,609,509.0,1609.0,0.012096774193548387,0.2845794392523365,0.6841397849462365,0.7518691588785047
1,10002,40.71557899789556,-73.98776263769201,0,93,4721,1493.0,7521.0,0.04341736694677871,0.6496490986651988,0.6970121381886087,1.034952525113527
2,10003,40.73069925225462,-73.98873408606987,0,0,1995,1000.0,3995.0,0.0,0.6717171717171717,0.6944444444444444,1.3451178451178452
3,10004,40.7152416073633,-74.0056190107151,0,0,263,300.0,863.0,0.0,0.3913690476190476,0.6928406466512702,1.2842261904761905
4,10005,40.70554599039336,-74.00716674982499,1,0,39,400.0,839.0,0.0,0.0491183879093199,0.8264462809917356,1.0566750629722923
6,10007,40.71383881516823,-74.00687068287714,0,0,284,450.0,1184.0,0.0,0.24356775300171526,0.743801652892562,1.0154373927958833
7,10009,40.726537222940465,-73.97958215451564,0,59,1784,1309.0,4284.0,0.031118143459915613,0.38201284796573876,0.6904008438818565,0.9173447537473234
8,10010,40.73713515775671,-73.9806392339117,0,0,234,1000.0,2234.0,0.0,0.06816195747159919,0.7032348804500703,0.6507427905621905
9,10011,40.74097734013592,-74.00015217791638,0,44,1956,844.0,3556.0,0.036393713813068655,0.5983481186907311,0.6980976013234078,1.0877944325481799
10,10012,40.72559612071852,-73.99821607542968,0,7,24,408.0,825.0,0.011419249592169658,0.02346041055718475,0.6655791190864601,0.8064516129032258
11,10013,40.71837618137396,-74.00241723349997,0,5,435,855.0,2135.0,0.0040032025620496394,0.13446676970633695,0.6845476381104884,0.6599690880989181
12,10014,40.73462973113796,-74.00550212648612,1,71,1711,472.0,2512.0,0.10028248587570622,1.0587871287128714,0.6666666666666666,1.5544554455445545
13,10016,40.74431733544972,-73.97890513330965,0,5,823,1205.0,3223.0,0.0027808676307007787,0.21249677252775626,0.6701890989988877,0.8321714433255873
14,10017,40.75092149668356,-73.97062422161008,1,0,107,200.0,507.0,0.0,0.2053742802303263,1.0362694300518134,0.9731285988483686
15,10019,40.76474904285313,-73.98587869422255,1,17,591,817.0,2191.0,0.015468607825295723,0.30061037639877924,0.7434030937215651,1.1144455747711088
16,10021,40.76803591929825,-73.95887882014682,0,0,460,1200.0,2860.0,0.0,0.10101010101010101,0.6715165081141579,0.6280193236714976
17,10022,40.756400416216174,-73.9664600532489,0,5,16,855.0,1716.0,0.004071661237785016,0.005708169818052087,0.6962540716612378,0.6122012129860863
18,10023,40.775705030281436,-73.98219516713417,0,7,1099,2407.0,5899.0,0.001972942502818489,0.1550507900677201,0.6784103720405863,0.8322516930022573
19,10024,40.78553016992954,-73.97707092182856,0,52,1243,2852.0,6843.0,0.012319355602937692,0.14356664356664356,0.6756692726841981,0.7903672903672904
20,10025,40.79843232661963,-73.96868636991312,0,163,2553,3013.0,8253.0,0.036230273394087575,0.2535756853396901,0.6697043787508336,0.8197258641239571
21,10026,40.80200787855544,-73.9522544184597,0,158,1706,1558.0,4506.0,0.0711071107110711,0.3102382251318421,0.7011701170117012,0.8194217130387343
22,10027,40.812340757556484,-73.955607416038,0,143,3758,2443.0,8358.0,0.03932893289328933,0.42257955695490834,0.6718921892189219,0.9398403238502193
23,10028,40.77485286050683,-73.95286628841625,0,46,348,1146.0,2548.0,0.02675974403723095,0.07212435233160622,0.6666666666666666,0.5280829015544042
24,10029,40.79149446328745,-73.94487895252226,0,138,3358,2738.0,8558.0,0.03480453972257251,0.3427579871389201,0.6905422446406053,0.8735327140961519
25,10030,40.81817005453232,-73.94238229150669,0,65,1266,1265.0,3666.0,0.034722222222222224,0.29865534324133053,0.6757478632478633,0.86482661004954
26,10031,40.82448322347925,-73.95099603560375,0,219,1571,1619.0,4371.0,0.09283594743535396,0.24277545974347087,0.6863077575243748,0.6754751970329161
27,10032,40.83750728867265,-73.94217794621107,0,311,3209,1511.0,5609.0,0.1389633601429848,0.5448217317487266,0.6751563896336015,0.9522920203735145
28,10033,40.84990937064269,-73.93596525338756,0,360,2893,2160.0,6493.0,0.11228945726762321,0.4013596004439512,0.6737367436057392,0.9008046614872364
29,10034,40.86603923524805,-73.92262845151335,0,322,3110,1772.0,6010.0,0.1231357552581262,0.5308979173779447,0.6776290630975144,1.0259474223284397
30,10035,40.80194493518226,-73.93627370773059,0,42,2067,1642.0,5267.0,0.017632241813602016,0.3561337008959338,0.6893366918555835,0.9074776016540317
31,10036,40.75959907202054,-73.992433680293,0,0,686,450.0,1586.0,0.0,0.43555555555555553,0.7097791798107256,1.006984126984127
32,10037,40.81296329105985,-73.9385013284444,0,77,586,727.0,1886.0,0.07196261682242991,0.22989407610827775,0.6794392523364486,0.7398979992153786
33,10038,40.70973408814095,-74.00127844218902,0,24,802,524.0,1802.0,0.031088082901554404,0.3461372464393612,0.6787564766839378,0.7777298230470436
34,10039,40.82576726812638,-73.93830767731656,0,107,1423,1307.0,3823.0,0.05637513171759747,0.30386504377535767,0.6886195995785037,0.8163570360879778
35,10040,40.8580632555444,-73.93018905971354,0,354,2578,1354.0,4578.0,0.17969543147208122,0.46233859397417504,0.6873096446700507,0.8210186513629842
36,10044,40.761964323691075,-73.95073738214472,0,5,489,655.0,1789.0,0.005324813631522897,0.286132241076653,0.6975505857294995,1.0468110005851374
37,10065,40.76649202499445,-73.96396502538653,0,40,845,1490.0,3745.0,0.017937219730941704,0.21666666666666667,0.6681614349775785,0.9602564102564103
38,10069,40.778555853626024,-73.98789266029601,0,5,16,505.0,1016.0,0.007246376811594203,0.01228878648233487,0.7318840579710145,0.7803379416282642
39,10075,40.7141209446381,-74.00624930435724,0,0,235,850.0,1935.0,0.0,0.09564509564509564,0.6838294448913917,0.7875457875457875
40,10128,40.78099470154894,-73.95017523854169,0,0,301,1900.0,4101.0,0.0,0.054371387283237,0.680759584378359,0.7407875722543352
41,10280,40.710404449532255,-74.01620093449414,0,0,509,250.0,1009.0,0.0,0.8330605564648118,0.7861635220125787,1.65139116202946
42,10282,40.716688878920806,-74.01352191312066,0,0,279,300.0,879.0,0.0,0.20454545454545456,0.7177033492822966,0.6444281524926686
43,10301,40.63184576979716,-74.0918493925657,0,121,1905,1921.0,5505.0,0.04352517985611511,0.31613010288748755,0.6910071942446043,0.9135413209425821
56,10452,40.837815841922605,-73.92219774954188,0,1145,6869,3645.0,11869.0,0.20966855887200148,0.43729309905780495,0.6674601721296466,0.7556022408963585
57,10453,40.85305666704923,-73.91474444884685,0,1155,6825,3655.0,11825.0,0.21092037983929876,0.42956948640483383,0.6674579985390796,0.7442724068479355
60,10456,40.83041398225364,-73.90881096982764,0,923,7167,4523.0,14367.0,0.1373920809764811,0.41637134723755304,0.6732658529324204,0.8346598501132865
219,11215,40.667072992037745,-73.98249790371247,0,362,3125,2762.0,7925.0,0.06337535014005602,0.25191455058444173,0.4835434173669468,0.6388553002821443
